;Setor
Date;
AGRO3.SA;Consumer Defensive
RAIL3.SA;Industrials
ALPA3.SA;Consumer Cyclical
AMAR3.SA;Consumer Cyclical
ABEV3.SA;Consumer Defensive
ADHM3.SA;
BBAS3.SA;Financial Services
BBDC3.SA;Financial Services
BEEF3.SA;Consumer Defensive
BPHA3.SA;
BRAP3.SA;Financial Services
BRFS3.SA;Consumer Defensive
BRKM3.SA;Basic Materials
BRPR3.SA;
OIBR3.SA;Communication Services
B3SA3.SA;Financial Services
CCRO3.SA;
CEED3.SA;Utilities
CMIG3.SA;Utilities
CPFE3.SA;Utilities
CPLE3.SA;Utilities
CSAN3.SA;Energy
CSMG3.SA;Utilities
CSNA3.SA;Basic Materials
CYRE3.SA;Consumer Cyclical
DASA3.SA;Healthcare
DIRR3.SA;Real Estate
ECOR3.SA;Industrials
ELET3.SA;Utilities
EMBR3.SA;Industrials
EQTL3.SA;Utilities
YDUQ3.SA;Consumer Defensive
ETER3.SA;Industrials
EVEN3.SA;Real Estate
EZTC3.SA;Real Estate
FHER3.SA;Basic Materials
FLRY3.SA;Healthcare
FRIO3.SA;Consumer Cyclical
GFSA3.SA;Consumer Cyclical
GGBR3.SA;Basic Materials
GOAU3.SA;Basic Materials
GRND3.SA;Consumer Cyclical
GSHP3.SA;Real Estate
HBOR3.SA;Real Estate
PRIO3.SA;Energy
HYPE3.SA;Healthcare
MEAL3.SA;Consumer Cyclical
INEP3.SA;Industrials
ITSA3.SA;Industrials
ITUB3.SA;Financial Services
JBSS3.SA;
JFEN3.SA;Real Estate
JHSF3.SA;Real Estate
JSLG3.SA;Industrials
KEPL3.SA;Industrials
LEVE3.SA;Consumer Cyclical
LIGT3.SA;Utilities
LOGN3.SA;Industrials
LPSB3.SA;Real Estate
LREN3.SA;Consumer Cyclical
LUPA3.SA;Energy
MDIA3.SA;Consumer Defensive
MGLU3.SA;Consumer Cyclical
MILS3.SA;Industrials
ENEV3.SA;Utilities
MRFG3.SA;Consumer Defensive
MRVE3.SA;Real Estate
MULT3.SA;Real Estate
MYPK3.SA;Consumer Cyclical
ODPV3.SA;Healthcare
OSXB3.SA;Energy
PDGR3.SA;Real Estate
PETR3.SA;Energy
PFRM3.SA;Healthcare
PLAS3.SA;Consumer Cyclical
PMAM3.SA;Basic Materials
POMO3.SA;Industrials
POSI3.SA;Technology
PSSA3.SA;Financial Services
PTBL3.SA;Industrials
QUAL3.SA;Healthcare
RAPT3.SA;Industrials
RDNI3.SA;Real Estate
RENT3.SA;Industrials
ROMI3.SA;Industrials
RSID3.SA;Consumer Cyclical
SBSP3.SA;Utilities
SCAR3.SA;Real Estate
SGPS3.SA;Consumer Cyclical
SHOW3.SA;Consumer Cyclical
SLCE3.SA;Consumer Defensive
SMTO3.SA;Basic Materials
EGIE3.SA;Utilities
TCSA3.SA;Real Estate
TECN3.SA;Consumer Cyclical
TGMA3.SA;Industrials
TOTS3.SA;Technology
TPIS3.SA;Industrials
TRIS3.SA;Real Estate
UGPA3.SA;Energy
UNIP3.SA;Basic Materials
USIM3.SA;Basic Materials
VALE3.SA;Basic Materials
VIVR3.SA;Real Estate
VIVT3.SA;Communication Services
VLID3.SA;Industrials
WEGE3.SA;Industrials
STBP3.SA;Industrials
CGRA3.SA;Consumer Cyclical
COCE3.SA;Utilities
TASA3.SA;Industrials
COGN3.SA;Consumer Defensive
RADL3.SA;Healthcare
UCAS3.SA;Consumer Cyclical
ANIM3.SA;Consumer Defensive
BBSE3.SA;Financial Services
CVCB3.SA;Consumer Cyclical
SEER3.SA;Consumer Defensive
TUPY3.SA;Industrials
BIOM3.SA;Healthcare
NUTR3.SA;Basic Materials
BAZA3.SA;Financial Services
SANB3.SA;Financial Services
FRAS3.SA;Consumer Cyclical
OFSA3.SA;Healthcare
GUAR3.SA;Consumer Cyclical
WHRL3.SA;Consumer Cyclical
RPMG3.SA;Energy
BRSR3.SA;Financial Services
BEES3.SA;Financial Services
BMEB3.SA;Financial Services
BMIN3.SA;Financial Services
BMKS3.SA;Consumer Cyclical
BNBR3.SA;Financial Services
BRIV3.SA;
CBEE3.SA;Utilities
CEEB3.SA;Utilities
CGAS3.SA;Utilities
CRIV3.SA;
CTNM3.SA;Consumer Cyclical
CTSA3.SA;Consumer Cyclical
DTCY3.SA;Communication Services
ENGI3.SA;Utilities
ENMT3.SA;Utilities
FESA3.SA;Basic Materials
JOPA3.SA;Consumer Defensive
KLBN3.SA;Basic Materials
MNDL3.SA;Consumer Defensive
MNPR3.SA;Consumer Defensive
